"ЭтоГруппа";"Группа";"Наименование";"код";"ккал";"жиры";"белки";"углеводы";"цена";"описание";"рисунок"
0;2;"печеночные блинчики с апельсиновым подливом";203;300;340;420;380;660;"Блинчики из печени индийских змей, в апельсиновом подливе с виноградом и хурмой.";"1 05.png"
0;2;"помедоры фаршерованные с семгой";204;300;340;480;380;670;"Спелые помидоры фаршерованные подкопчеными брюшками семги с облепихой и зеленью. ";"1 06.png"
0;2;"«избушка» из мяса креветок";205;300;340;256;380;540;"Аппетитный креветочный домик, внотри наполненный кусочками оливок с зеленью и беконом.";"1 07.png"
0;2;"рулетики со свинной вырезкой";206;300;340;467;380;600;"Хрустящие вафельные рулетики с сочной свиной вырезкой внутри";"1 08.png"
0;2;"бедрышко индейки запеченное по древнему тибетскому рецепту";207;300;340;578;380;870;"Это абсолютное удовольствие новых ощущений";"1 09.png"
0;2;"штрудель по-баварски";208;300;230;866;234;670;"баварский яблочный штрудель";"1_11.png"
0;2;"копченые ребрышки антилопы-гну";209;300;364;675;234;234;"восхитительные хрустящие ребрышки";"1_12.png"
0;2;"колбаски жареные с редькой";210;300;234;354;345;110;"чесночные колбаски к пиву";"1_13.png"
0;2;"куропатка маринованная";211;300;234;343;234;230;"изысканное блюдо для ценителей";"1_14.png"
0;2;"картофель фри с овощным гарниром";212;300;353;343;124;430;"дешево и сердито!";"1_15.png"
0;2;"горбуша в тесте";213;300;345;232;676;130;"филе горбуши в тесте";"1_21.png"
0;2;"мясо креветки в японском соусе";214;300;234;243;565;240;"креветко в японском соусе";"1_22.png"
0;2;"запеканка крабовая";215;300;644;564;343;450;"клешни крабов в овощном гарнире";"1_23.png"
0;2;"перепелиное филе с овощами";216;300;112;343;343;230;"вкусное мясо перепелки на вертеле";"1_26.png"
0;2;"ассорти овощное «Вегатив»";217;300;654;345;232;430;"тру веганское ассорти для sxe";"1_27.png"
0;2;"спагетти по сицилийски с мясом птицы";218;300;454;234;123;120;"брутальное спагетти для настоящих мачо";"1_28.png"
0;2;"говядина на косточке";219;300;343;234;234;430;"сочная говядина запеченая на косточке";"1_29.png"
0;2;"закуска айвовая";220;300;234;234;345;230;"айвовое желе";"1_32.png"
1;0;"Напитки";3;;;;;;;
0;3;"вино «Портвейн 777» марочное";301;232;434;121;464;100;"Вино выдержаное марочное полусухое красное";"1_01.png"
0;3;"Сироп фруктовый в ассортименте";302;323;232;121;454;210;"сироп фруктовый";"1_10.png"
0;3;"Сок «Тропикана» яблочный";303;232;332;121;454;210;"сок";"2.png"
0;3;"Сок «Тропикана» мультифрукт";304;121;232;121;434;210;"просто сок";"3.png"
1;0;"салаты";4;;;;;;;
0;4;"салат заморский с папоротником";401;234;454;345;343;210;"салат с добавлением натуральных экологически чистых овощей";"1_02.png"
0;4;"салат летний с овощами";402;234;345;345;234;230;"салат с добавлением натуральных экологически чистых овощей";"1_17.png"
0;4;"салат «Клайпеда» с селедкой";403;234;345;235;234;320;"салат с добавлением натуральных экологически чистых овощей";"1_19.png"
0;4;"салат арийский с картофелем";404;234;456;234;345;230;"салат с добавлением натуральных экологически чистых овощей";"1_20.png"
0;4;"салат африканский ананасовый";405;234;345;456;345;120;"салат с добавлением натуральных экологически чистых овощей";"1_25.png"
0;4;"салат рыбное ассорти с майонезом провансаль";406;234;345;564;234;320;"салат с добавлением натуральных экологически чистых овощей";"1_30.png"
0;4;"салат «Веселый»";407;234;345;545;534;540;"салат с добавлением натуральных экологически чистых овощей";"1_31.png"
0;4;"салат со спаржей";408;234;345;235;234;530;"салат с добавлением натуральных экологически чистых овощей";"1_33.png"
0;4;"салат любительский";409;234;345;235;234;650;"салат с добавлением натуральных экологически чистых овощей";"1_34.png"
0;4;"салат «Приморский» с морепродуктами";410;234;235;234;567;350;"салат с добавлением натуральных экологически чистых овощей";"1_35.png"
0;4;"салат итальянский с оливками";411;234;456;235;567;540;"салат с добавлением натуральных экологически чистых овощей";"1_36.png"
0;4;"салат «Уго Чавэс» с красным уксусом";412;234;345;235;456;350;"салат с добавлением натуральных экологически чистых овощей";"1_40.png"
0;4;"салат зимний";413;234;345;235;456;670;"салат с добавлением натуральных экологически чистых овощей";"1_43.png"
0;4;"салат весенний с маринованными огурчиками";414;234;235;235;346;350;"салат с добавлением натуральных экологически чистых овощей";"1_55.png"
0;4;"салат «Дачный»";415;123;345;235;356;430;"салат с добавлением натуральных экологически чистых овощей";"1_62.png"
0;4;"салат «Закусочный»";416;123;235;235;346;540;"салат с добавлением натуральных экологически чистых овощей";"1_66.png"
0;4;"салат «Пингвин»";417;234;345;235;345;650;"салат с добавлением натуральных экологически чистых овощей";"1_68.png"
0;4;"салат оливье по-сибирски";418;345;346;235;345;560;"салат с добавлением натуральных экологически чистых овощей";"1_72.png"
0;4;"салат с икрой омуля";419;345;456;235;235;540;"салат с добавлением натуральных экологически чистых овощей";"1_73.png"
